movie_title,year,sequel,mpaa_rating,length_min,imdb_rating,metascore,gross_mil,director,director_dem,director_w,director_poc,star1,star1_dem,star_w,star_poc,studio,released,combined_dem,img
Guardians of the Galaxy,2014,0,PG-13,121,8.1,76,333.18,James Gunn,WM,0,0,Chris Pratt,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg
X-Men: Days of Future Past,2014,3,PG-13,132,8,75,233.92,Bryan Singer,WM,0,0,Patrick Stewart,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/pb1IURTkK5rImP9ZV83lxJO2us7.jpg
Captain America: The Winder Soldier,2014,1,PG-13,136,7.8,70,259.77,Russo brothers,WM,0,0,Chris Evans,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/5TQ6YDmymBpnF005OyoB7ohZps9.jpg
The Amazing Spider-Man 2,2014,1,PG-13,142,6.6,53,202.85,Marc Webb,WM,0,0,Andrew Garfield,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/ha1FI2U5QF1L7Avb0mqxSgnXlbZ.jpg
Avengers: Age of Ultron,2015,1,PG-13,141,7.4,66,459.01,Joss Whedon,WM,0,0,Robert Downey Jr.,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg
Ant-Man,2015,0,PG-13,117,7.3,64,180.2,Peyton Reed,WM,0,0,Paul Rudd,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/D6e8RJf2qUstnfkTslTXNTUAlT.jpg
Fantastic Four (2015),2015,0,PG-13,100,4.3,27,56.12,Josh Trank,WM,0,0,Miles Teller,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/g23cs30dCMiG4ldaoVNP1ucjs6.jpg
Captain America: Civil War,2016,2,PG-13,147,7.8,75,408.08,Russ Brothers,WM,0,0,Chris Evans,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/kSBXou5Ac7vEqKd97wotJumyJvU.jpg
Doctor Strange,2016,0,PG-13,115,7.5,72,232.64,Scott Derrickson,WM,0,0,Benedict Cumberbatch,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg
Deadpool,2016,0,R,108,8,65,363.07,Tim Miller,WM,0,0,Ryan Reynolds,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/pnaBBCunHuyNRE8Cn06oDRBK77e.jpg
X-Men: Apocalypse,2016,1,PG-13,144,7,52,155.44,Bryan Singer,WM,0,0,James McAvoy,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/zSouWWrySXshPCT4t3UKCQGayyo.jpg
Batman v Superman: Dawn of Justice,2016,0,PG-13,151,6.5,44,330.36,Zack Snyder,WM,0,0,Ben Affleck,WM,0,0,DCEU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/cGOPbv9wA5gEejkUN892JrveARt.jpg
Suicide Squad,2016,0,PG-13,123,6.1,40,325.1,David Ayer,WM,0,0,Will Smith,BM,0,1,DCEU,1,2,https://image.tmdb.org/t/p/w440_and_h660_face/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg
Logan,2017,2,R,137,8.1,77,226.28,James Mangold,WM,0,0,Hugh Jackman,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/x75pHBRH3UdRQtP52k8MIOLryW8.jpg
Wonder Woman,2017,0,PG-13,141,7.5,76,412.56,Patty Jenkins,WF,1,0,Gal Gadot,WF,1,0,DCEU,1,1,https://image.tmdb.org/t/p/w440_and_h660_face/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg
Thor: Ragnarok,2017,1,PG-13,130,7.9,74,315.06,Taika Waititi,BM,0,1,Chris Hemsworth,WM,0,0,MCU,1,2,https://image.tmdb.org/t/p/w440_and_h660_face/8hnNdUFlUkjPWxKDyiE4Kn8h7Q5.jpg
Spider-Man: Homecoming,2017,0,PG-13,133,7.5,73,334.2,Jon Watts,WM,0,0,Tom Holland,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg
Guardians of the Galaxy Vol. 2,2017,1,PG-13,136,7.7,67,389.81,James Gunn,WM,0,0,Chris Pratt,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg
Justice League,2017,1,PG-13,120,6.5,45,229.02,Zack Snyder,WM,0,0,Ben Affleck,WM,0,0,DCEU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/eifGNCSDuxJeS1loAXil5bIGgvC.jpg
Black Panther,2018,0,PG-13,134,7.4,88,700.06,Ryan Coogler,BM,0,1,Chadwick Boseman,BM,0,1,MCU,1,2,https://image.tmdb.org/t/p/w440_and_h660_face/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
Ant-Man and the Wasp,2018,1,PG-13,118,7.2,70,216.65,Peyton Reed,WM,0,0,Paul Rudd,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/rv1AWImgx386ULjcf62VYaW8zSt.jpg
Avengers: Infinity War,2018,2,PG-13,149,8.5,68,678.82,Russo Brothers,WM,0,0,Robert Downey Jr.,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
Deadpool 2,2018,1,R,119,7.8,66,318.49,David Leitch,WM,0,0,Ryan Reynolds,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/7OYQSzGrezA2MdcKtAE4dUSlLD5.jpg
Aquaman,2018,0,PG-13,143,7.1,53,335.06,James Wan,AM,0,1,Jason Mamoa,PIM,0,1,DCEU,1,2,https://image.tmdb.org/t/p/w440_and_h660_face/ydUpl3QkVUCHCq1VWvo2rW4Sf7y.jpg
Venom,2018,0,PG-13,112,6.9,35,212.75,Ruben Fleischer,WM,0,0,Tom Hardy,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg
Dark Phoenix,2019,2,,,,,,Simon Kinberg,WM,0,0,Sophie Turner,WF,1,0,X-Men,0,1,https://image.tmdb.org/t/p/w440_and_h660_face/kZv92eTc0Gg3mKxqjjDAM73z9cy.jpg
Captain Marvel,2019,0,,,,,,Anna Boden/Ryan Fleck,WF,1,0,Brie Larson,WF,1,0,MCU,0,1,https://image.tmdb.org/t/p/w440_and_h660_face/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg
Spider-Man: Far From Home,2019,1,,,,,,Jon Watts,WM,0,0,Tom Holland,WM,0,0,MCU,0,0,https://image.tmdb.org/t/p/w440_and_h660_face/rjbNpRMoVvqHmhmksbokcyCr7wn.jpg
Avengers: Endgame,2019,3,,,,,,Russo Brothers,WM,0,0,"Robert Downey, Jr.",WM,0,0,MCU,0,0,https://image.tmdb.org/t/p/w440_and_h660_face/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg
Shazam!,2019,0,,,,,,David F. Sandberg,WM,0,0,Zachary Levi,WM,0,0,DCEU,0,0,https://image.tmdb.org/t/p/w440_and_h660_face/xnopI5Xtky18MPhK40cZAGAOVeV.jpg
The New Mutants,2019,0,,,,,,Josh Boone,WM,0,0,Maisie Wiliams,WF,1,0,X-Men,0,1,https://image.tmdb.org/t/p/w440_and_h660_face/5AI4Y7KUTG2WDyuBsqeClLTind5.jpg
Joker,2019,0,,,,,,Todd Phillips,WM,0,0,Joaquin Phoenix,WM,0,0,DCEU,0,0,https://image.tmdb.org/t/p/w440_and_h660_face/uStgo04Jrdyjgj7ZpcEpuieeKxD.jpg
Wonder Woman 1984,2020,1,,,,,,Patty Jenkins,WF,1,0,Gal Gadot,WF,1,0,DCEU,0,1,https://image.tmdb.org/t/p/w440_and_h660_face/pajGgyGueYKwDYOx4U9RLpYYvtM.jpg
Cyborg,2020,0,,,,,,Unknown,UU,0,0,Ray Fisher,BM,0,1,DCEU,0,2,
Green Lantern Corps,2020,0,,,,,,Unknown,UU,0,0,Unknown,UU,0,0,DCEU,0,0,https://image.tmdb.org/t/p/w440_and_h660_face/qtMjHsEyD2sck9748PaUwthW8JR.jpg
Suicide Squad 2,2020,1,,,,,,Gavin O'Connor,WM,0,0,Will Smith,BM,0,1,DCEU,0,2,
Birds of Prey,2020,0,,,,,,Cathy Yan,AF,1,1,Margot Robbie,WF,1,0,DCEU,0,1,
